jersey,name,day,team,opponent,goal,assist,defense,drop,throwaway,o-line,o-scoring-line,d-line,d-scoring-line
,Gothainayagi R,day-1,Tamilnadu,Uttar Pradesh,,,,,,,,,
,Monika Shankar,day-1,Tamilnadu,Uttar Pradesh,,,,,,,,,
8,Mrinalini Siddhartha,day-1,Tamilnadu,Uttar Pradesh,,,,,,,,,
18,Pooja B,day-1,Tamilnadu,Uttar Pradesh,,,,,,,,,
77,Pooja S,day-1,Tamilnadu,Uttar Pradesh,,,,,,,,,
0,Sagarika AP,day-1,Tamilnadu,Uttar Pradesh,,,,,,,,,
94,Samyuktha Arvind,day-1,Tamilnadu,Uttar Pradesh,,,,,,,,,
,Selvi Murugan,day-1,Tamilnadu,Uttar Pradesh,,,,,,,,,
,Shruthi Nathella,day-1,Tamilnadu,Uttar Pradesh,,,,,,,,,
13,Snehankita Rout,day-1,Tamilnadu,Uttar Pradesh,,,,,,,,,
,Srividya Suriyashekar,day-1,Tamilnadu,Uttar Pradesh,,,,,,,,,
2,Vijaya Dharshini M,day-1,Tamilnadu,Uttar Pradesh,,,,,,,,,
,Arulmozhi Selvan,day-1,Tamilnadu,Uttar Pradesh,,,,,,,,,
,Hariharan Kumar,day-1,Tamilnadu,Uttar Pradesh,,,,,,,,,
,Harsh Nisar,day-1,Tamilnadu,Uttar Pradesh,,,,,,,,,
31,Harsha GK,day-1,Tamilnadu,Uttar Pradesh,,,,,,,,,
,Kiran Kumar,day-1,Tamilnadu,Uttar Pradesh,,,,,,,,,
,Kishore Kumar,day-1,Tamilnadu,Uttar Pradesh,,,,,,,,,
,Manikandan Kumar,day-1,Tamilnadu,Uttar Pradesh,,,,,,,,,
,Ramkumar Nithyanandam,day-1,Tamilnadu,Uttar Pradesh,,,,,,,,,
,Siva Kumar,day-1,Tamilnadu,Uttar Pradesh,,,,,,,,,
99,Siva Raman,day-1,Tamilnadu,Uttar Pradesh,,,,,,,,,
5,Subash S,day-1,Tamilnadu,Uttar Pradesh,,,,,,,,,
,Vimanthan L,day-1,Tamilnadu,Uttar Pradesh,,,,,,,,,
,Yuvaraj Magesh,day-1,Tamilnadu,Uttar Pradesh,,,,,,,,,
11,Angana Prasad,day-1,Uttar Pradesh,Tamilnadu,,,,,,,,,
17,Anshika Itaunja,day-1,Uttar Pradesh,Tamilnadu,,,,,,1,,1,
8,Kajal JMP,day-1,Uttar Pradesh,Tamilnadu,3,,,,1,12,6,6,1
97,Mabiya Parbeen,day-1,Uttar Pradesh,Tamilnadu,2,,,,,6,5,6,1
9,Manju Kushwaha,day-1,Uttar Pradesh,Tamilnadu,,,,,,7,3,5,
2,Neha Bharti,day-1,Uttar Pradesh,Tamilnadu,,,,,,1,,1,
18,Raveena Kannaujia,day-1,Uttar Pradesh,Tamilnadu,,,,,,1,,,
19,Roshni Bharti,day-1,Uttar Pradesh,Tamilnadu,,,,1,,12,6,8,1
41,Sheeba Itaunja,day-1,Uttar Pradesh,Tamilnadu,,,,,,1,,1,
22,Vandana Kashyap,day-1,Uttar Pradesh,Tamilnadu,,,,,,8,5,4,1
23,Akshai Abraham,day-1,Uttar Pradesh,Tamilnadu,,,,,,,,,
10,Arun Kumar,day-1,Uttar Pradesh,Tamilnadu,,,,,,,,,
12,Chandan Rastogi,day-1,Uttar Pradesh,Tamilnadu,,,,,,1,,1,
15,Divakar Rai,day-1,Uttar Pradesh,Tamilnadu,,,,,,,,,
7,Govind JMP,day-1,Uttar Pradesh,Tamilnadu,3,,,1,1,9,6,7,1
3,Gufraan Itaunja,day-1,Uttar Pradesh,Tamilnadu,,,,,,1,,1,
4,Krishna Sharma,day-1,Uttar Pradesh,Tamilnadu,,,,,,1,,4,1
85,Krishna Singh,day-1,Uttar Pradesh,Tamilnadu,,,,,,,,2,
5,Priyanshu Singh,day-1,Uttar Pradesh,Tamilnadu,,2,,,1,12,6,4,
60,Sonu Kashyap,day-1,Uttar Pradesh,Tamilnadu,,4,,,1,4,2,6,
45,Sunny Azad,day-1,Uttar Pradesh,Tamilnadu,,3,,1,3,13,7,3,1
1,Vikram Namdeo,day-1,Uttar Pradesh,Tamilnadu,,,,,2,8,3,3,
