"Jersey","Name","Day","Team","Opponent","goal","assist","defense","drop","throwaway","o-line","o-scoring-line","d-line","d-scoring-line"
"22","Radhika Rathod","day-1","Maharashtra Ultimate","Karnataka State","","","","","","5","3","1",""
"93","Sahitra Ghurye","day-1","Maharashtra Ultimate","Karnataka State","1","","1","","1","12","6","10","2"
"7","Sapna Dodmani","day-1","Maharashtra Ultimate","Karnataka State","","","","","","","","",""
"20","Sharanya Ramesh","day-1","Maharashtra Ultimate","Karnataka State","","","","","","9","4","",""
"77","Sushma Tapse","day-1","Maharashtra Ultimate","Karnataka State","1","","","","1","13","8","3","1"
"73","Vaishnavi _","day-1","Maharashtra Ultimate","Karnataka State","3","","","","","4","3","6","2"
"19","Vidya Parmar","day-1","Maharashtra Ultimate","Karnataka State","","","","","","1","1","8","3"
"68","Chandan Dubey","day-1","Maharashtra Ultimate","Karnataka State","","1","","","","","","10","3"
"14","Karan Arora","day-1","Maharashtra Ultimate","Karnataka State","","","","","","1","1","",""
"63","Kunal Pasalkar","day-1","Maharashtra Ultimate","Karnataka State","","","","","","1","1","5","2"
"92","Maksood Chaudhary","day-1","Maharashtra Ultimate","Karnataka State","1","2","","","1","11","7","3","1"
"69","Rohan Bijoor","day-1","Maharashtra Ultimate","Karnataka State","","","","","","","","1",""
"23","Sachin Pandit","day-1","Maharashtra Ultimate","Karnataka State","","3","1","","4","1","1","12","5"
"9","Sandeep Kannoujia","day-1","Maharashtra Ultimate","Karnataka State","","","","","","","","6","2"
"49","Sanjeev Kumar","day-1","Maharashtra Ultimate","Karnataka State","","","","","","2","2","1",""
"31","Shivamkumar Dubey","day-1","Maharashtra Ultimate","Karnataka State","1","","","","1","5","3","2","1"
"74","Shubham More","day-1","Maharashtra Ultimate","Karnataka State","1","1","1","1","","9","5","",""
"58","Sunil Varma","day-1","Maharashtra Ultimate","Karnataka State","","","","","1","3","1","",""
"1","Sushant Tapse","day-1","Maharashtra Ultimate","Karnataka State","1","2","","","1","6","3","",""
"4","Tahir Siddiqui","day-1","Maharashtra Ultimate","Karnataka State","1","","","","1","1","","7","2"
"10","Vikas Chauhan","day-1","Maharashtra Ultimate","Karnataka State","1","1","","","","8","6","",""
