"Jersey","Name","Day","Team","Opponent","goal","assist","defense","drop","throwaway","o-line","o-scoring-line","d-line","d-scoring-line"
"","Arulmozhi Selvan","day-1","Tamilnadu","Uttar Pradesh","2","1","","","","3","3","2","2"
"","Hariharan Kumar","day-1","Tamilnadu","Uttar Pradesh","","3","","","2","8","7","1","1"
"","Harsh Nisar","day-1","Tamilnadu","Uttar Pradesh","1","1","3","","","1","1","6","2"
"31","Harsha GK","day-1","Tamilnadu","Uttar Pradesh","1","3","1","","","1","1","10","4"
"","Kiran Kumar","day-1","Tamilnadu","Uttar Pradesh","1","","","","","","","4","2"
"","Kishore Kumar","day-1","Tamilnadu","Uttar Pradesh","","","","","","","","1",""
"","Manikandan Kumar","day-1","Tamilnadu","Uttar Pradesh","1","","","","","1","1","7","3"
"","Ramkumar Nithyanandam","day-1","Tamilnadu","Uttar Pradesh","1","1","1","","","","","9","4"
"","Siva Kumar","day-1","Tamilnadu","Uttar Pradesh","1","","","","","1","1","1","1"
"99","Siva Raman","day-1","Tamilnadu","Uttar Pradesh","2","","2","1","","8","7","",""
"5","Subash S","day-1","Tamilnadu","Uttar Pradesh","","1","","1","","5","3","1","1"
"","Vimanthan L","day-1","Tamilnadu","Uttar Pradesh","1","1","1","","","7","6","2","1"
"","Yuvaraj Magesh","day-1","Tamilnadu","Uttar Pradesh","","","","","","","","",""
"11","Angana Prasad","day-1","Uttar Pradesh","Tamilnadu","","","","","","","","",""
"17","Anshika Itaunja","day-1","Uttar Pradesh","Tamilnadu","","","","","","1","","1",""
"8","Kajal JMP","day-1","Uttar Pradesh","Tamilnadu","3","","","","1","12","6","6","1"
"97","Mabiya Parbeen","day-1","Uttar Pradesh","Tamilnadu","2","","","","","6","5","6","1"
"9","Manju Kushwaha","day-1","Uttar Pradesh","Tamilnadu","","","","","","7","3","5",""
"2","Neha Bharti","day-1","Uttar Pradesh","Tamilnadu","","","","","","1","","1",""
"18","Raveena Kannaujia","day-1","Uttar Pradesh","Tamilnadu","","","","","","1","","",""
"19","Roshni Bharti","day-1","Uttar Pradesh","Tamilnadu","","","","1","","12","6","8","1"
"41","Sheeba Itaunja","day-1","Uttar Pradesh","Tamilnadu","","","","","","1","","1",""
"22","Vandana Kashyap","day-1","Uttar Pradesh","Tamilnadu","","","","","","8","5","4","1"
"23","Akshai Abraham","day-1","Uttar Pradesh","Tamilnadu","","","","","","","","",""
"10","Arun Kumar","day-1","Uttar Pradesh","Tamilnadu","","","","","","","","",""
"12","Chandan Rastogi","day-1","Uttar Pradesh","Tamilnadu","","","","","","1","","1",""
"15","Divakar Rai","day-1","Uttar Pradesh","Tamilnadu","","","","","","","","",""
"7","Govind JMP","day-1","Uttar Pradesh","Tamilnadu","3","","","1","1","9","6","7","1"
"3","Gufraan Itaunja","day-1","Uttar Pradesh","Tamilnadu","","","","","","1","","1",""
"4","Krishna Sharma","day-1","Uttar Pradesh","Tamilnadu","","","","","","1","","4","1"
"85","Krishna Singh","day-1","Uttar Pradesh","Tamilnadu","","","","","","","","2",""
"5","Priyanshu Singh","day-1","Uttar Pradesh","Tamilnadu","","2","","","1","12","6","4",""
"60","Sonu Kashyap","day-1","Uttar Pradesh","Tamilnadu","","4","","","1","4","2","6",""
"45","Sunny Azad","day-1","Uttar Pradesh","Tamilnadu","","3","","1","3","13","7","3","1"
"1","Vikram Namdeo","day-1","Uttar Pradesh","Tamilnadu","","","","","2","8","3","3",""
"","Akshara Domala","day-1","Telangana Ultimate","Tamilnadu","","","","1","","4","1","2","1"
"","Ankita P","day-1","Telangana Ultimate","Tamilnadu","","","","1","","6","0","1","0"
"","Goundla Mamatha","day-1","Telangana Ultimate","Tamilnadu","","","","","1","4","1","1","0"
"","Manasa H G","day-1","Telangana Ultimate","Tamilnadu","","","","2","","7","1","2","1"
"","Nayanatara Vadali","day-1","Telangana Ultimate","Tamilnadu","","","","","1","6","1","2","1"
"","Ramya Bhavana Kothapalli","day-1","Telangana Ultimate","Tamilnadu","","","","","","6","1","0","0"
"","Sindhu M","day-1","Telangana Ultimate","Tamilnadu","","","","","","4","0","1","1"
"","Usha Rani","day-1","Telangana Ultimate","Tamilnadu","1","","","1","","5","1","1","0"
"","Varshita M","day-1","Telangana Ultimate","Tamilnadu","","","","","","6","0","1","0"
"","Abimanyu Nair","day-1","Telangana Ultimate","Tamilnadu","","","","","","3","0","1","0"
"","Anil K","day-1","Telangana Ultimate","Tamilnadu","","2","","","1","6","2","0","0"
"","Anil Naik","day-1","Telangana Ultimate","Tamilnadu","","","","","","1","0","2","1"
"","Dhiraj Gangaraju","day-1","Telangana Ultimate","Tamilnadu","","","2","1","3","6","1","0","0"
"1","Kishen Chandar","day-1","Telangana Ultimate","Tamilnadu","","","","1","1","5","1","1","0"
"7","Mayank Dawra","day-1","Telangana Ultimate","Tamilnadu","","","","","1","5","0","0","0"
"","Panvi S","day-1","Telangana Ultimate","Tamilnadu","1","","","","","1","0","3","1"
"","Pranay M","day-1","Telangana Ultimate","Tamilnadu","","","","","","5","1","0","0"
"","Ravitheja Tetali","day-1","Telangana Ultimate","Tamilnadu","","1","","2","","4","0","2","1"
"","Sandeep G","day-1","Telangana Ultimate","Tamilnadu","","","","","","4","1","1","0"
"","Suresh K","day-1","Telangana Ultimate","Tamilnadu","1","","1","1","","4","2","0","0"
"","Tharun K","day-1","Telangana Ultimate","Tamilnadu","","","","2","","4","0","0","0"
"59","Venkatesh Kumar","day-1","Telangana Ultimate","Tamilnadu","","","","","1","1","0","0","0"
"","Deepika Shankar","day-1","Tamilnadu","Telangana Ultimate","","2","","","1","","","5","5"
"","Gothainayagi R","day-1","Tamilnadu","Telangana Ultimate","1","1","1","2","","","","3","3"
"","Monika Shankar","day-1","Tamilnadu","Telangana Ultimate","1","","","","","3","2","3","3"
"8","Mrinalini Siddhartha","day-1","Tamilnadu","Telangana Ultimate","1","1","","","1","3","2","3","3"
"18","Pooja B","day-1","Tamilnadu","Telangana Ultimate","2","1","","","","","","6","4"
"77","Pooja S","day-1","Tamilnadu","Telangana Ultimate","","","","","","","","",""
"0","Sagarika AP","day-1","Tamilnadu","Telangana Ultimate","2","","","","","1","1","5","4"
"94","Samyuktha Arvind","day-1","Tamilnadu","Telangana Ultimate","1","","1","2","","","","5","5"
"","Selvi Murugan","day-1","Tamilnadu","Telangana Ultimate","","2","","","","3","2","4","3"
"","Shruthi Nathella","day-1","Tamilnadu","Telangana Ultimate","","1","","","1","3","2","3","3"
"13","Snehankita Rout","day-1","Tamilnadu","Telangana Ultimate","","","","","","","","",""
"","Srividya Suriyashekar","day-1","Tamilnadu","Telangana Ultimate","1","1","","1","1","","","5","5"
"2","Vijaya Dharshini M","day-1","Tamilnadu","Telangana Ultimate","","","","2","","1","1","2","2"
"","Arulmozhi Selvan","day-1","Tamilnadu","Telangana Ultimate","","","","","1","1","0","3","2"
"","Hariharan Kumar","day-1","Tamilnadu","Telangana Ultimate","1","1","","","","3","2","3","3"
"","Harsh Nisar","day-1","Tamilnadu","Telangana Ultimate","","1","1","","","","","3","2"
"31","Harsha GK","day-1","Tamilnadu","Telangana Ultimate","1","1","","","1","1","1","5","4"
"","Kiran Kumar","day-1","Tamilnadu","Telangana Ultimate","","","1","","","","","5","3"
"","Kishore Kumar","day-1","Tamilnadu","Telangana Ultimate","","","","","","","","4","3"
"","Manikandan Kumar","day-1","Tamilnadu","Telangana Ultimate","","1","","1","","","","5","4"
"","Ramkumar Nithyanandam","day-1","Tamilnadu","Telangana Ultimate","","","","","","","","4","4"
"","Siva Kumar","day-1","Tamilnadu","Telangana Ultimate","1","","","","1","","","",""
"99","Siva Raman","day-1","Tamilnadu","Telangana Ultimate","1","2","1","","","2","1","3","3"
"5","Subash S","day-1","Tamilnadu","Telangana Ultimate","","","","","","","","3","3"
"","Vimanthan L","day-1","Tamilnadu","Telangana Ultimate","1","","","","","3","2","5","5"
"","Yuvaraj Magesh","day-1","Tamilnadu","Telangana Ultimate","1","","","","","1","1","3","2"
"11","Angana Prasad","day-1","Uttar Pradesh","Gujarat Ultimate","","","","","","0","0","0","0"
"17","Anshika Itaunja","day-1","Uttar Pradesh","Gujarat Ultimate","","","1","","","2","0","1","0"
"8","Kajal JMP","day-1","Uttar Pradesh","Gujarat Ultimate","2","","","","1","10","8","6","0"
"97","Mabiya Parbeen","day-1","Uttar Pradesh","Gujarat Ultimate","","","","","2","10","6","8","0"
"9","Manju Kushwaha","day-1","Uttar Pradesh","Gujarat Ultimate","","","","","1","8","5","6","0"
"2","Neha Bharti","day-1","Uttar Pradesh","Gujarat Ultimate","","","","","","5","2","0","0"
"18","Raveena Kannaujia","day-1","Uttar Pradesh","Gujarat Ultimate","","","","","","2","0","0","0"
"19","Roshni Bharti","day-1","Uttar Pradesh","Gujarat Ultimate","2","1","","1","","11","7","8","0"
"41","Sheeba Itaunja","day-1","Uttar Pradesh","Gujarat Ultimate","","","","1","","1","0","1","0"
"22","Vandana Kashyap","day-1","Uttar Pradesh","Gujarat Ultimate","","","","2","","1","1","1","0"
"23","Akshai Abraham","day-1","Uttar Pradesh","Gujarat Ultimate","","","","","","0","0","0","0"
"10","Arun Kumar","day-1","Uttar Pradesh","Gujarat Ultimate","","","","","","0","0","0","0"
"12","Chandan Rastogi","day-1","Uttar Pradesh","Gujarat Ultimate","","","","","2","3","0","1","0"
"15","Divakar Rai","day-1","Uttar Pradesh","Gujarat Ultimate","","","1","","1","3","0","1","0"
"7","Govind JMP","day-1","Uttar Pradesh","Gujarat Ultimate","1","","2","","","11","8","8","0"
"3","Gufraan Itaunja","day-1","Uttar Pradesh","Gujarat Ultimate","","","","","1","1","0","2","0"
"4","Krishna Sharma","day-1","Uttar Pradesh","Gujarat Ultimate","","","","","","0","0","4","0"
"85","Krishna Singh","day-1","Uttar Pradesh","Gujarat Ultimate","","","","","","2","0","1","0"
"5","Priyanshu Singh","day-1","Uttar Pradesh","Gujarat Ultimate","","2","","","","9","5","7","0"
"60","Sonu Kashyap","day-1","Uttar Pradesh","Gujarat Ultimate","","2","","","","5","3","5","0"
"45","Sunny Azad","day-1","Uttar Pradesh","Gujarat Ultimate","1","3","","","1","6","6","0","0"
"1","Vikram Namdeo","day-1","Uttar Pradesh","Gujarat Ultimate","2","","","","4","8","5","3","0"
"97","Arya Shah","day-1","Gujarat Ultimate","Uttar Pradesh","4","","","","","9","9","0","0"
"39","Bhavya Jain","day-1","Gujarat Ultimate","Uttar Pradesh","3","","","1","","0","0","12","4"
"6","Dhwani Jain","day-1","Gujarat Ultimate","Uttar Pradesh","","","","","","0","0","4","0"
